Manufacturer,Model,Description,Transmission,Manual or Automatic,Engine Capacity,Fuel Type,Powertrain,Engine Power (PS),Engine Power (Kw),Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Euro Standard,Diesel VED Supplement,Testing Scheme,WLTP Imperial Low,WLTP Imperial Medium,WLTP Imperial High,WLTP Imperial Extra High,WLTP Imperial Combined,WLTP Imperial Combined (Weighted),WLTP Metric Low,WLTP Metric Medium,WLTP Metric High,WLTP Metric Extra High,WLTP Metric Combined,WLTP Metric Combined (Weighted),WLTP CO2,WLTP CO2 Weighted,Equivalent All Electric Range Miles,Equivalent All Electric Range KM,Electric Range City Miles,Electric Range City Km,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined,Noise Level dB(A),Date of change,
FIAT,500 MY23,LA PRIMA Electric 42kW 118hp (VH),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,3.9,156,282,175,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,402,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,NEW 500C Electric 42kW 118hp Convertible (VL),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,4.6,133,337,209,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298,479,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,NEW 500C Electric 42kW 118hp Convertible (VH),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,3.9,156,282,175,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,402,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,LA PRIMA Electric 42kW 118hp Convertible (VL),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,4.6,133,337,209,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298,479,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,LA PRIMA Electric 42kW 118hp Convertible (VH),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,3.9,156,282,175,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,402,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,(RED) Electric 24kW 93hp (VH only),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),95,70,4.7,130,190,118,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,160,257,0,,,,,,,67.0,13 January 2025,
FIAT,500 MY23,(RED) Electric 42kW 118hp (VL),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,4.6,133,337,209,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298,479,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,(RED) Electric 42kW 118hp (VH),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,3.9,156,282,175,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,402,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,(RED) Electric 42kW 118hp Convertible (VL),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,4.6,133,337,209,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298,479,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY23,(RED) Electric 42kW 118hp Convertible (VH),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,3.9,156,282,175,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,402,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY24,Electric 42kW 118hp (VL),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,4.6,133,337,209,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298,479,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY24,Electric 42kW 118hp (VH),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,3.9,156,282,175,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,402,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY25,Electric 42kW 118hp (VL),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,4.6,133,337,209,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298,479,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY25,Electric 42kW 118hp (VH),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),118,87,3.9,156,282,175,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,402,0,,,,,,,69.0,13 January 2025,
FIAT,500 MY25,Electric 24kW 93hp (VH only),A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),95,70,4.7,130,190,118,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,160,257,0,,,,,,,67.0,13 January 2025,
FIAT,500X MY22,DOLCEVITA SPORT 1.5 130hp Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,60.6,53.2,56.9,41.9,50.2,0,4.7,5.3,5,6.7,5.6,0,128,0,,,,,296,30,16,,0.21,60,60,69.0,17 October 2024,
FIAT,500X MY22,DOLCEVITA SPORT 1.5 130hp Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,53.7,44.5,51,38.8,44.9,0,5.3,6.4,5.5,7.3,6.3,0,143,0,,,,,296,30,16,,0.21,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X Dolcevita 1.5 130hp Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X Dolcevita 1.5 130hp Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,41.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X Dolcevita Top 1.5 130hp Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X Dolcevita Top 1.5 130hp Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,41.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X (RED) 1.5 130HP Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X (RED) 1.5 130HP Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,41.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X Dolcevita (RED) 1.5 130HP Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY23,500X Dolcevita (RED) 1.5 130HP Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,41.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
